Локальный идентификатор;Наименование;Автор;Год издания;Вид документа;Отрасль знания;Возрастная категория;ISBN
149;Повесть о Гайдне;Дилакторская Наталья Леонидовна;1961;Книга;Искусство. Культура;Детский;-
151;"""Ваш номер!""";Дурова Наталья Юрьевна;1962;Книга;Искусство. Культура;Детский;-
153;Сергей Чекмарев;Ильичева Стелла Ильинична;1968;Книга;Искусство. Культура;Детский;-
154;Каталоги и картотеки централизованной библиотечной системы: Практ. Пособие;;1985;Книга;Справочники;Детский;-
155;Как выбирать профессию: Кн. для учащихся ст. классов сред. шк;Климов Евгений Александрович;1990;Книга;Учебная литература;Детский;5-09-002654-8
157;Что такое интенсификация: Азбука интенсификации;Козлов Борис Игоревич;1986;Книга;Наука ;Детский;-
158;По ту сторону тайны;Комаров Виктор Ноевич;1964;Книга;Познавательная литература;Детский;-
161;Комплекование фондов централизованной библиотечной системы: Практ. Пособие;;1979;Книга;Справочники;Детский;-
162;География материков и океанов: Учеб. для 7 кл. сред. шк.;Коринская Валентина Александровна;1989;Книга;Учебная литература;Детский;5-09-001462-0
163;Логистика;Гаджинский Адиль Мухтарович;2001;Книга;Учебная Литература;Универсальный;5-94462-036-6
164;Эффективное управление;Друкер Питер;2003;Книга;Учебная Литература;Универсальный;5-8183-0584-8
165;Управление общественными отношениями;КапитоновЭдуард Алексеевич;2008;Книга;Учебная Литература;Универсальный;978-5-91131-282-4
166;Управление государственной собственностью;Ануприенко Валерий Юрьевич;2007;Книга;Учебная Литература;Универсальный;978-5-282-02655-9
167;Технология и конструирование интегральных микросхем;Березин Андрей Сергеевич;1992;Книга;Учебная Литература;Взрослый;5-256-01014-Х
168;Безопасность движения автомобильного транспорта;Боровский Борис Евстафьевич;1984;Книга;Наука. Техника;Взрослый;-
169;Электронные приборы и усилители;Вайсбурд Файвель Иосифович;1987;Книга;Учебная Литература;Взрослый;-
170;Библиотечные фонды;Воронько Клара Леонардовна;1992;Книга;Учебная Литература;Взрослый;5-7000-0350-3
171;Общая иностранная библиография;Гудовщикова Ирина Васильевна;1978;Книга;Учебная Литература;Взрослый;-
172;Микроэлектроника;Ефимов Иван Ефимович;1987;Книга;Наука. Техника;Взрослый;-
173;Электронно-лучевые и фотоэлектронные приборы;Жигарев Андрей Александрович;1982;Книга;Наука. Техника;Взрослый;-
174;Специальность: Порошковая металлургия;Либенсон Герман Абрамович;1987;Книга;Наука. Техника;Взрослый;-
175;Контроль знаний по математике с применением ЭВМ;Мирошникова Маргарита Михайловна;1990;Книга;Наука.Техника;Взрослый;5-06-001542-4
176;Язык Ассемблера для персонального компьютера ЭПЛ;Морер Уорд;1987;Книга;Компьютер. Интернет;Взрослый;-
177;Современная экономика;Мамедов А.Ю.;1996;Книга;Экономика;Взрослый;5-85880-230-3
178;Библиотековедение ч.1;Серов В.В.;1971;Книга;Учебная Литература;Взрослый;-
