Локальный идентификатор;Наименование;Автор;Год издания;Вид документа;Отрасль знания;Возрастная категория;ISBN
2443;Справочник химика-энергетика т.III;;1972;Книга;Справочник;Взрослый;-
2444;Справочник по электротехническим материалам;;1974;Книга;Справочник;Взрослый;-
2445;Справочник товароведа промышленных товаров, т.1;;1974;Книга;Справочник;Взрослый;-
2446;Справочник по проектированию электро-энергетических систем;;1977;Книга;Справочник;Взрослый;-
2447;Справочник по электроизмерительным приборам;;1977;Книга;Справочник;Взрослый;-
2448;Насосы;;1979;Книга;Справочник;Взрослый;-
2449;Справочник по накладке вторичных цепей электростанций и подстанций;;1979;Книга;Справочник;Взрослый;-
2450;Справочник по организации и механизации;;1979;Книга;Справочник;Взрослый;-
2451;Международные неправительственные организации;;1982;Книга;Справочник;Взрослый;-
2452;Справочник по электрическим конденсаторам;;1983;Книга;Справочник;Взрослый;-
2453;Вакуумная техника;;1985;Книга;Справочник;Взрослый;-
2454;Полупроводниковые приборы;;1989;Книга;Справочник;Взрослый;-
2455;Международные организации системы ООН;;1990;Книга;Справочник;Взрослый;-
2456;Улицы Москвы;;1993;Книга;Справочник;Взрослый;-
2457;Резисторы,конденсаторы,трансформаторы;;1994;Книга;Справочник;Взрослый;-
2458;Интегральные микросхемы зарубежной бытовой видеоаппаратуры;;1996;Книга;Справочник;Взрослый;-
2459;Страны мира;;1997;Книга;Справочник;Взрослый;-
2460;Новейший справочник для поступающих в вузы России;;2008;Книга;Справочник;Взрослый;-
2461;Русские советские писатели. Поэты: Библиографический указатель. Т.11 ;;1988;Книга;Справочник;Взрослый;-
2462;Русские советские писатели. Поэты: Библиографический указатель. Т.12 ;;1989;Книга;Справочник;Взрослый;-
2463;Русские советские писатели. Поэты: Библиографический указатель. Т.13. ;;1990;Книга;Справочник;Взрослый;-
2464;Русские советские писатели. Поэты: Библиографический указатель. Т.14. ч.1;;1991;Книга;Справочник;Взрослый;-
2465;Библиография работ по древнерусской литературе, опубликованной в СССР. 1968-1972 гг.;;1996;Книга;Справочник;Взрослый;-
2466;Соломон Михоэлс: Библиографический указатель. 1919 - 1999;;2003;Книга;Справочник;Взрослый;-
2467;Да будет мир на земле. 60-летию Победы посвящается…: Рекомендательный библиографический справочник;;2004;Книга;Справочник;Взрослый;-
2468;Электро-технический справочник. Т.2;;1975;Книга;Справочник;Взрослый;-
2469;Полупроводниковые приборы. Диоды выпрямительные. Стабилитроны. Тиристоры;;1988;Книга;Справочник;Взрослый;-
2470;Полупроводниковые приборы. Диоды высокочастотные. Диоды импульсные. Оптоэлектронные приборы;;1988;Книга;Справочник;Взрослый;-
2471;Словарь банковско-биржевой лексики на шести языках;;1992;Книга;Справочник;Взрослый;-
2472;Словарь делового человека;;1992;Книга;Справочник;Взрослый;-
2473;Справочник по радиорелейной связи;;1981;Книга;Справочник;Взрослый;-
2474;Холодильные компрессоры;;1981;Книга;Справочник;Взрослый;-
2475;Справочник по физико-техническим основам криогеники;;1985;Книга;Справочник;Взрослый;-
2476;Научно-экспериментальная база атомной промышленности зарубежных стран. ;;1987;Книга;Справочник;Взрослый;-
2477;Справочник по электромеханическим и электрофизическим методам обработки;;1988;Книга;Справочник;Взрослый;-
2478;Основы рыночной экономики. Терминологический словарь;;1992;Книга;Справочник;Взрослый;-
2479;Рыночная экономика: Словарь;;1993;Книга;Справочник;Взрослый;-
2480;Экологические и природоохранные карты и атласы России и сопредельных государств (в пределах бывшего СССР): Аннотированный библиографический указатель;;1993;Книга;Справочник;Взрослый;-
2481;Население и  трудовые ресурсы;;1990;Книга;Общественные и гуманитарные науки;Взрослый;-
2482;Строительные машины;;1976;Книга;Наука. Техника;Взрослый;-
2484;Технология и организация строительного пр.;;1981;Книга;Строительство;Взрослый;-
2485;В помощь людям с органиченными возможностями здоровья:адреса,телефоны;;2005;Книга;Справочник;Взрослый;-
2486;Виноделие на дому;;1991;Брошюра;Наука. Техника;Взрослый;-
2487;Технология металлов и других конструкционных материалов;;1972;Книга;Наука. Техника;Взрослый;-
2488;Термо-жаростойкие и негорючие волокна;;1978;Книга;Наука. Техника;Взрослый;-
2489;Промышленное применение лазеров;;1988;Книга;Наука. Техника;Взрослый;-
2490;Справочник технолога машиностроителя. Т1;;1963;Книга;Наука. Техника;Взрослый;-
2491;Справочник технолога машиностроителя. Т2;;1963;Книга;Наука. Техника;Взрослый;-
2492;Резание конструкционных материалов;;1967;Книга;Наука. Техника;Взрослый;-
2493;Зубчатые и червячные передачи;;1974;Книга;Наука. Техника;Взрослый;-
2494;Справочник по наладке электроустановок;;1976;Книга;Наука. Техника;Взрослый;-
2495;Справочник по проектированию электроснабжения;;1980;Книга;Наука. Техника;Взрослый;-
2496;Справочник по монтажу электроустановок промышленных предприятий. Кн.2;;1982;Книга;Наука. Техника;Взрослый;-
2497;Холодильные машины;;1982;Книга;Наука. Техника;Взрослый;-
2498;Технология молока и молочных продуктов;;1991;Книга;Наука. Техника;Взрослый;-
2499;Справочник по кранам;;1973;Книга;Наука. Техника;Взрослый;-
2500;Справочник по монтажу электроустановок промышленных предприятий. Кн.1;;1982;Книга;Наука. Техника;Взрослый;-
2501;Металлургические печи;;1987;Книга;Справочник;Взрослый;-
2502;Электротехнический справочник.Т.1.;;1974;Книга;Справочник;Взрослый;-
2503;Справочник товароведа промышленных товаров, т.2.1;;1975;Книга;Справочник;Взрослый;-
2504;Теплотехнический справочник.Т.1;;1975;Книга;Справочник;Взрослый;-
2505;Электротехнический справочник.Т.3;;1975;Книга;Справочник;Взрослый;-
2506;Теплотехнический справочник.Т.2;;1976;Книга;Справочник;Взрослый;-
2507;Справочник ПО применению и нормам расхода смазочных материалов. Кн.2;;1977;Книга;Справочник;Взрослый;-
2508;Приборы для неразрушающего контроля материалов;;1978;Книга;Справочник;Взрослый;-
2509;Справочник по сварке,пайке,склейке и резке металлов и пластмасс;;1980;Книга;Справочник;Взрослый;-
2510;Интегральные микросхемы;;1983;Книга;Справочник;Взрослый;-
2511;Справочник по наладке электрооборудования;;1983;Книга;Справочник;Взрослый;-
2512;Подшипники качения;;1984;Книга;Справочник;Взрослый;-
2513;Защита от коррозии, старения и биоповреждений машин;;1987;Книга;Справочник;Взрослый;-
2514;Справочник по электрическим аппаратам высокого напряжения;;1987;Книга;Справочник;Взрослый;-
2515;Микропроцессоры. Т.1;;1988;Книга;Справочник;Взрослый;-
2516;Микропроцессоры. Т.2;;1988;Книга;Справочник;Взрослый;-
2517;Обработка металлов резанием;;1988;Книга;Справочник;Взрослый;-
2518;Модемы;;1997;Книга;Справочник;Взрослый;-
2519;Справочник по лазерам Т.1;;1978;Книга;Учебная литература;Взрослый;-
2520;Справочник по лазерам Т.2;;1978;Книга;Учебная литература;Взрослый;-
2521;Товароведение промышленных товаров;;1981;Книга;Учебная литература;Взрослый;-
2522;Мощные полупроводниковые приборы;;1985;Книга;Учебная литература;Взрослый;-
2523;Основы телефонной коммутации;;1987;Книга;Учебная литература;Взрослый;-
2524;Процессы и аппараты химической промышленности;;1989;Книга;Учебная литература;Взрослый;-
2525;Техника безопасности в электроустановках;;1987;Книга;Справочник;Взрослый;-
2526;Автоматические приборы,регуляторы и вычислительные системы;;1976;Книга;Учебная литература;Взрослый;-
2527;Дорожно-строительные машины;;1977;Книга;Транспорт;Взрослый;-
2528;Научная организация труда на машиностроительном предприятии;;1986;Книга;Экономика;Взрослый;-
2529;День за днём. Русский язык: Учебник для иностранных учащихся. I экспресс Б;;1994;Брошюра;Учебная литература;Взрослый;-
2530;Патентоведение;;1984;Книга;Учебная литература;Взрослый;-
2531;Социальная статистика;;1988;Книга;Учебная литература;Взрослый;-
2532;Товароведение продовольственных товаров.;;1988;Книга;Учебная литература;Взрослый;-
2533;Федеральное конституционное право России: Основные источники по состоянию на 15 сентября 1996 года;;1996;Книга;Учебная литература;Взрослый;-
2534;Основы современной философии;;1997;Книга;Учебная литература;Взрослый;-
2535;Уголовно-исполнительное право России;;1997;Книга;Учебная литература;Взрослый;-
2536;Парламентское право России;;1999;Книга;Учебная литература;Взрослый;-
2537;Холодильная техника;;1986;Книга;Учебная литература;Взрослый;-
2538;Лекарственные препараты зарубежных фирм в России;;1993;Книга;Фармакология;Взрослый;-
2539;Экономика пищевой промышленности;;1981;Книга;Экономика;Взрослый;-
2540;От фондирования к оптовой торговле;;1990;Книга;Экономика;Взрослый;-
2541;Нефтегазовая промышленность индустриально развитых капиталистических стран;;1988;Книга;Экономика;Взрослый;-
2542;Приватизация гос.и муницип. Предприятий;;1992;Книга;Экономика;Взрослый;-
2543;Внешнеэкономический бизнес в России;;1997;Книга;Экономика;Взрослый;-
2544;Аналитическое чтение;Радугина Татьяна Николаевна;1986;Книга;Учебная литература;Универсальный;-
2545;Пособие для совершенствования навыков английского произношения;Селезнев Владимир Харитонович;1979;Книга;Учебная литература;Универсальный;-
2546;Учебник испанского языка для неязыковых вузов;;1978;Книга;Учебная литература;Универсальный;-
2547;Я люблю английский;Мещерякова В.Н.;2001;Книга;Учебная литература;Универсальный;-
2548;Теоретическая грамматика английского языка;Кошевая Инна Георгиевна;1982;Книга;Учебная литература;Универсальный;-
2550;Интерпретация текста;Кухаренко Валерия Андреевна;1979;Книга;Учебная литература;Универсальный;-
2551;Книга для чтения на французском языке к учебнику 9 кл. средней школы;Ройзенблит Е.Б.;1973;Книга;Учебная литература;Универсальный;-
2552;Искусство ГДР (живопись, скульптура, архитектура);Гончарова Евгения Александровна;1985;Книга;Искусство;Универсальный;-
2554;Пособие по устному переводу (немецкий язык);Батрак Андрей Викторович;1979;Книга;Учебная литература;Универсальный;-
2555;"Практикум по курсу ""Теоретическая грамматика немецкого языка""";Шишкова Лариса Васильевна;1984;Книга;Учебная литература;Универсальный;-
2556;Учебник немецкого языка для технических вузов;;1987;Книга;Учебная литература;Универсальный;-
2557;Учебник немецкого языка;Пиронкова Маргарита Павловна;1981;Книга;Учебная литература;Универсальный;-
2559;Читай! Переводи! Говори!;Болдырева Людмила Михайловна;1981;Книга;Учебная литература;Универсальный;-
2561;Аналитическое чтение на немецком языке;Шишкина Инна Павловна;1980;Книга;Учебная литература;Универсальный;-
2562;Пособие по немецкому языку для внеаудиторных занятий;Якушина Леля Зеликовна;1982;Книга;Учебная литература;Универсальный;-
2563;Введение в немецкий язык;Варзонин Юрий;1995;Книга;Учебная литература;Универсальный;-
2564;Рядом с Лениным.;;1969;Книга;История;Взрослый;-
2565;Справочник по анестезиологии и реанимации;;1970;Книга;Справочники;Взрослый;-
2566;Латинская Америка Т.1;;1979;Книга;Путешествия;Взрослый;-
2567;Вождение мотоцикла;Ельчанинов И.Е.;1981;Книга;Техника;Взрослый;-
2568;Слово о науке;;1981;Книга;Познавательная литература;Взрослый;-
2569;Латинская Америка Т.2;;1982;Книга;Путешествия;Взрослый;-
2570;Электротехнические материалы;;1983;Книга;Наука.Техника;Взрослый;-
2571;Общественная психология и идеология;Уледов А.К.;1985;Книга;Психология;Взрослый;-
2572;Современное русское православие;Гордиенко Н.С.;1987;Книга;Искусство;Взрослый;-
2573;Страны и народы :Энциклопедия;;1987;Книга;Научная;Взрослый;5-89151-024-3
2574;Православный словарь атеиста;;1988;Книга;Религия;Взрослый;5-250-00079-7
2575;Несусветная реальность;Сафонов В.И.;1990;Книга;Психология;Взрослый;5-02-006082-8
2576;Комментарии к Кодексу законов о труде РФ;;1997;Книга;Право;Взрослый;5-86639-223-Х
2577;Аренда жилых и нежилых помещений;Владимирская А.С.;1998;Книга;Право;Взрослый;-
2578;Комментарии к Семейному Кодексу;;1998;Книга;Право;Взрослый;5-89568-072-0
2579;Страны и народы мира : Энциклопедический справочник;;1998;Книга;Научная;Взрослый;5-222-00600-Х
2580;Сборник законодательства по конституц.( гос.) праву;;2000;Книга;Право;Взрослый;5-85880-558-2
2581;Конституционное право РФ.;Ковешников Е.М.;2000;Книга;Право;Взрослый;5-89123-430-0
2582;Комментарии к уголовно-процессуальному кодексу;;2000;Книга;Право;Взрослый;5-85294-1-5-0
2583;Гражданский кодекс РФ;;2000;Книга;Право;Взрослый;5-89123-469-6
2584;Управление социальным развитием;Ворожейкин И.Е.;2001;Книга;Право;Взрослый;5-16-000-806-3
2585;Финансовое право. Экзаменационные ответы;Мандрица В.М.;2001;Книга;Право;Взрослый;5-222-01-947-0
2586;Трудовой кодекс РФ;;2002;Книга;Право;Взрослый;5-900904-11-5
2587;День из жизни писателя;Степанов Г.Г.;1981;Книга;Литературоведение;Универсальный;-
2588;Далекое и близкое;Скатов Н. ;1981;Книга;Литературоведение;Универсальный;-
2589;Дума о России;Прпокушев Ю.;1988;Книга;Литературоведение;Универсальный;-
2591;Действие происходит в Москве;Шамаро А.А.;1988;Книга;Литературоведение;Универсальный;-
2592;Литература Ответы на билеты;;1977;Книга;Образование;Универсальный;-
2593;Переживания читающего человека;Шугаев В.;1988;Книга;Литературоведение;Универсальный;-
2594;"Методическое руководство к учебнику-хрестоматии ""Родная литература для 7 класса";Беленький Г.И.;1978;Книга;Учебная литература;Универсальный;-
2595;Над страницами русской классики;Бердников Г.П.;1985;Книга;Литературоведение;Универсальный;-
2596;От Кантемира до наших дней т.1;Благойт Д.;1979;Книга;Литературоведение;Универсальный;-
2597;О художественных мирах;Бочаров С.Г.;1985;Книга;Литературоведение;Универсальный;-
2598;Сумка волшебника;Бражин И.;1973;Книга;Литературоведение;Универсальный;-
2599;Преодоление трагедии;Семенова С.;1989;Книга;Литературоведение;Универсальный;-
2600;Жизнь и поэзия - одно;Зуев Н.И. ;1990;Книга;Литературоведение;Универсальный;-
2601;Прошлое и настоящее;Небольсин С.А.;1986;Книга;Литературоведение;Универсальный;-
2602;Великая эстафета;Андроников И.;1975;Книга;Литературоведение;Универсальный;-
2603;Наследники мятежной вольности;Чегодаев А.Д.;1989;Книга;Литературоведение;Универсальный;-
2604;Статьи и исследования;Десницкий В.А.;1979;Книга;Литературоведение;Универсальный;-
2605;В глубине строки;Западов А.В.;1972;Книга;Литературоведение;Универсальный;-
2606;Монолог с вариациями;Золотусский И.;1980;Книга;Литературоведение;Универсальный;-
2607;Перепутья;Орлов В.Н.;1976;Книга;Литературоведение;Универсальный;-
2608;Статьи о русской литературе;Бельчиков Н.Ф.;1990;Книга;Литературоведение;Универсальный;-
2609;Практические занятия по русской литературе 19 века;Войтоловская Э.Л.;1975;Книга;Литературоведение;Универсальный;-
2611;В содружестве талантов;Осоцкий В.Д.;1978;Книга;Литературоведение;Универсальный;-
2612;Беседы о научной фантастике;Гуревич Г.И.;1983;Книга;Литературоведение;Универсальный;-
2613;Русский реализм. От Тургенева к Чехову;Бялый Г.А.;1990;Книга;Литературоведение;Универсальный;-
2614;Литературоведческие расследования;Бухштаб Б.Я.;1982;Книга;Литературоведение;Универсальный;-
2615;Литературоведческие расследования;Бухштаб Б.Я.;1982;Книга;Литературоведение;Универсальный;-
2616;Заветное;Жуков Д.;1981;Книга;Литературоведение;Универсальный;-
2617;В глубине строки;Западов А.В.;1972;Книга;Литературоведение;Универсальный;-
2618;Русский классицизм;Москвичева Г.В. ;1986;Книга;Литературоведение;Универсальный;-
2619;Воробьевы горы;Либединская Л.;1968;Книга;Литературоведение;Универсальный;-
2620;Литературная критика;Чернышевский Н.Г.;1981;Книга;Литературоведение;Универсальный;-
2621;Литературно-критические статьи;Чернышевский Н.Г.;1983;Книга;Литературоведение;Универсальный;-
2626;Н.В. Гоголь: жизнь и творчество;Воропаев В.А.;2000;Книга;Литературоведение;Универсальный;-
2628;Литературная критика;Шелгунов Н.В.;1974;Книга;Литературоведение;Универсальный;-
2629;Живое слово;Тарасенко А.;1971;Книга;Литературоведение;Универсальный;-
2630;Статьи о русских писателях;Акимов Ю.;1961;Книга;Литературоведение;Универсальный;-
2631;Радость, мастером кованная;Дувакин В.;1964;Книга;Литературоведение;Универсальный;-
2632;"""Их вечен с вольностью союз""";;1983;Книга;Литературоведение;Универсальный;-
2633;Рождение книги;Оклянский Ю.;1973;Книга;Литературоведение;Универсальный;-
2634;"""Их вечен с вольностью союз""";;1983;Книга;Литературоведение;Универсальный;-
2635;Несущие тягу земную;Зубарева Е.;1980;Книга;Литературоведение;Универсальный;-
2636;Час будущего;Кокин Л.;1984;Книга;Литературоведение;Универсальный;-
2637;Мои современники какими я их знала;Иванова Т.;1987;Книга;Литературоведение;Универсальный;-
2638;Воспитание поколений;Ивич А.;1960;Книга;Литературоведение;Универсальный;-
2639;Тайны поэзии;Михайлов Ал.;1980;Книга;Литературоведение;Универсальный;-
2640;Страсть к диалектике;Лосев А.Ф.;1990;Книга;Литературоведение;Универсальный;-
2642;Самая жгучая связь;Ломунова М.Н.;1983;Книга;Литературоведение;Универсальный;-
2643;Литературное движение советской эпохи;;1986;Книга;Литературоведение;Универсальный;-
2644;Два ключа;Михайлов Ал.;1981;Книга;Литературоведение;Универсальный;-
2645;Поэты и поэзия;Михайлов Ал.;1978;Книга;Литературоведение;Универсальный;-
2646;Судьба народная;Литвинов В.;1986;Книга;Литературоведение;Универсальный;-
2647;Сквозь призму чувств;Липин С.;1978;Книга;Литературоведение;Универсальный;-
2648;Путь, открытый взорам;Лесневский С.С.;1980;Книга;Литературоведение;Универсальный;-
2649;Бойцы моей земли;Федоров Вл.;1973;Книга;Литературоведение;Универсальный;-
2650;В середине века;Гусев В.;1967;Книга;Литературоведение;Универсальный;-
2651;Россия - любовь моя;Петелин В.В.;1972;Книга;Литературоведение;Универсальный;-
2652;перекличка эпох;Кузнецов Ф.;1980;Книга;Литературоведение;Универсальный;-
2653;Прямая речь;Рубашкин А.;1987;Книга;Литературоведение;Универсальный;-
2654;Русская советская литературная критика;;1981;Книга;Литературоведение;Универсальный;-
2655;Национальное и интернациональное в советской литературе;;1971;Книга;Литературоведение;Универсальный;-
2656;В поисках поэзии и правды;Марков Г.;1983;Книга;Литературоведение;Универсальный;-
2657;Горизонты жизни и труд писателя;Марков Г.;1978;Книга;Литературоведение;Универсальный;-
2658;Сеятели;Мелентьев Ю.;1982;Книга;Литературоведение;Универсальный;-
2659;Собеседники;Михайлов Ал.;1985;Книга;Литературоведение;Универсальный;-
2660;Выбор;Лебедев А.;1980;Книга;Литературоведение;Универсальный;-
2661;Великое слово;БяликБ.А.;1981;Книга;Литературоведение;Универсальный;-
2662;Сила и тайна слова;Михайлов Ал.;1984;Книга;Литературоведение;Универсальный;-
2663;Большая литература;Овчаренко А.И.;1988;Книга;Литературоведение;Универсальный;-
2664;Новые герои - новые пути;Овчаренко А.И.;1977;Книга;Литературоведение;Универсальный;-
2665;Открытие мира;Полозова Т.Д.;1979;Книга;Литературоведение;Универсальный;-
2666;Глазами совести;Фиш Радий;1980;Книга;Литературоведение;Универсальный;-
2667;12 миниатюр;Брагинский И.;1976;Книга;Литературоведение;Универсальный;-
2668;Садриддин Айни;Брагинский И.;1978;Книга;Литературоведение;Универсальный;-
2669;Детская литература ;;1972;Книга;Литературоведение;Универсальный;-
2670;Детская литература ;;1975;Книга;Литературоведение;Универсальный;-
2671;Творцы созвучий;Хакимов А.;1988;Книга;Литературоведение;Универсальный;-
2672;Присягаем Отечеству;Дерюгин Ю.И.;1984;Книга;Военная литература;Универсальный;-
2673;Степан Осипович Макаров;Потапов Ю.П.;1982;Книга;Историческая;Универсальный;-
2674;Степан Халтурин;Полевой Ю.З.;1979;Книга;Историческая;Универсальный;-
2675;Андрей Желябов;Прокофьев В.;1960;Книга;Историческая;Универсальный;-
2676;Хрестоматия по истории СССР;;1990;Книга;Историческая;Универсальный;-
2677;Собрание сочинений, т.4;Гончаров И.А.;1979;Книга;Русская литература;Универсальный;-
2678;Собрание сочинений, т.5;Гончаров И.А.;1979;Книга;Русская литература;Универсальный;-
2679;Собрание сочинений, т.6;Гончаров И.А.;1980;Книга;Русская литература;Универсальный;-
2680;Собрание сочинений, т.8;Гончаров И.А.;1980;Книга;Русская литература;Универсальный;-
2681;Собрание сочинений, т.4;Гоголь Н.В.;1985;Книга;Русская литература;Универсальный;-
2682;Ищу собеседника;Ланщиков А.;1988;Книга;Литературоведение;Универсальный;-
2683;Огонь мерцающий в сосуде;Куняев С.;1986;Книга;Литературоведение;Универсальный;-
2684;Свободная стихия;Куняев С.;1979;Книга;Литературоведение;Универсальный;-
2685;Сердца из крепкого булата;;1990;Книга;Литературоведение;Универсальный;-
2686;Лики времени т. 1;Сучков Б.;1976;Книга;Литературоведение;Универсальный;-
2687;Лики времени т. 2;Сучков Б.;1976;Книга;Литературоведение;Универсальный;-
2688;Фантастика и наш мир;Урбан А.А.;1972;Книга;Литературоведение;Универсальный;-
2689;Действующие лица;Вишневская В.;1989;Книга;Литературоведение;Универсальный;-
2690;Мир глазами поэта;Вишневский К.Д.;1979;Книга;Литературоведение;Универсальный;-
2691;Художественные ориентиры 20 века;Затонский Д.;1988;Книга;Литературоведение;Универсальный;-
2692;Актуальные проблемы сравнительного изучения литератур социалистических стран;;1978;Книга;Литературоведение;Универсальный;-
2693;За и против человека;;1980;Книга;Литературоведение;Универсальный;-
2694;Собрание сочинений 3 т.;Сучков Б.Л.;1985;Книга;Литературоведение;Универсальный;-
2695;Собрание сочинений 2 т.;Сучков Б.Л.;1985;Книга;Литературоведение;Универсальный;-
2696;Человек, природа, общество в современной прозе;Андреев Ю.А.;1981;Книга;Литературоведение;Универсальный;-
2697;Собрание сочинений 3 т.;Храпченко М.Б.;1981;Книга;Литературоведение;Универсальный;-
2698;Собрание сочинений 4 т.;Храпченко М.Б.;1982;Книга;Литературоведение;Универсальный;-
2699;Собрание сочинений 1 т.;Храпченко М.Б.;1980;Книга;Литературоведение;Универсальный;-
2700;Песни просвещения;Норанхо К.;1997;Книга;Литературоведение;Универсальный;-
2701;Литература как форма авторского сознания;Власенко Т.Л.;1995;Книга;Литературоведение;Универсальный;-
2702;Соединяя времена;Горелов А.А.;1978;Книга;Литературоведение;Универсальный;-
2703;Три судьбы;Горелов А.А.;1980;Книга;Литературоведение;Универсальный;-
2704;Вечера в Колмове и перед взором твоим;Давыдов Ю.В.;1989;Книга;Литературоведение;Универсальный;-
2705;Мои осенние досуги;Пьянов А.С.;1979;Книга;Литературоведение;Универсальный;-
2706;Истина сильнее царя;Невелов Г.А.;1985;Книга;Литературоведение;Универсальный;-
2707;Время против безвременья;Камянов В.;1989;Книга;Литературоведение;Универсальный;-
2708;Статьи о русских писателях;Котов А.К.;1986;Книга;Литературоведение;Универсальный;-
2709;Книга о русской лирической поэзии 19 века;Кожинов В.В.;1978;Книга;Литературоведение;Универсальный;-
2710;Герой современной драмы;Оснос Ю.;1980;Книга;Литературоведение;Универсальный;-
2711;Страсть к настоящему;Панкин Б.;1983;Книга;Литературоведение;Универсальный;-
2712;Строгая литература;Панкин Б.;1982;Книга;Литературоведение;Универсальный;-
2713;Наедине с тобою;Орлов С.;1978;Книга;Литературоведение;Универсальный;-
2714;Поэты прозаики великих лет;Перцов В.;1969;Книга;Литературоведение;Универсальный;-
2715;Современники т. 1;Перцов В.;1980;Книга;Литературоведение;Универсальный;-
2716;Современники т. 2;Перцов В.;1980;Книга;Литературоведение;Универсальный;-
2717;Счастливые неудачники;Оклянский Ю.;1990;Книга;Литературоведение;Универсальный;-
2718;Дорога к читателю;Старшинов Н.;1985;Книга;Литературоведение;Универсальный;-
2719;В память навечно;Михайлов Н.;1986;Книга;Литературоведение;Универсальный;-
2720;Литература русского зарубежья;Михайлов О.Н.;1995;Книга;Литературоведение;Универсальный;-
2721;Россия-любовь;Петелин В.В.;1986;Книга;Литературоведение;Универсальный;-
2722;На древе человечества;Огнев В.;1985;Книга;Литературоведение;Универсальный;-
2723;Два портрета;Лукин Ю.;1975;Книга;Литературоведение;Универсальный;-
2724;Свидетельства;Огнев В.;1982;Книга;Литературоведение;Универсальный;-
2725;Избранные работы;Озеров В.;1980;Книга;Литературоведение;Универсальный;-
2727;Республика труда;Любарева Е.;1978;Книга;Литературоведение;Универсальный;-
2728;Советская романтическая поэзия;Любарева Е.;1973;Книга;Литературоведение;Универсальный;-
2729;Давние времена;Мунблит Г.Н.;1983;Книга;Литературоведение;Универсальный;-
2730;Рассказы о писателях;Мунблит Г.Н.;1968;Книга;Литературоведение;Универсальный;-
2731;Берега времени;Наровчатов С.С.;1976;Книга;Литературоведение;Универсальный;-
2732;На переднем крае;Зайцев В.П;1988;Книга;Историческая;Универсальный;-
2733;Магнаты. Начало биографии;Оггер Г.;1985;Книга;Историческая;Универсальный;-
2734;Адмирал Нельсон;Трухановский В.Г;1980;Книга;Историческая;Универсальный;-
2735;Вокруг холмов Московских;Зверев В.Л;1986;Книга;Историческая;Универсальный;-
2736;Имена московских улиц;;1985;Книга;Историческая;Универсальный;-
2738;История Москвы;;1979;Книга;Историческая;Универсальный;-
2739;На верхней Волге;;1978;Книга;Историческая;Универсальный;-
2740;Слово о городе Пушкине;Демьянов И.;1972;Книга;Историческая;Универсальный;-
2741;Открытие Сибири;Окладников А.;1981;Книга;Историческая;Универсальный;-
2742;Улица 25 Октября, 16;Лабынцев Ю.А.;1986;Книга;Историческая;Универсальный;-
2743;От Алари до Вьетнама;Вампилов Б.Н;1986;Книга;Историческая;Универсальный;-
2744;Москва: город и человек;;1989;Книга;Историческая;Универсальный;-
2747;Москва-героям Отечественной;Криворучко М.Г.;1981;Книга;Историческая;Универсальный;-
2748;Люди великого города;;1981;Книга;Историческая;Универсальный;-
2749;Родопские партизаны;Семерджиев А.;1965;Книга;Историческая;Универсальный;-
2750;Пороховой погреб Европы: Балканские войны 20 века;Задохин А.Г.;2000;Книга;Историческая;Универсальный;-
2751;Тайны исчезнувших сокровищ;Венецкий С.;1993;Книга;Историческая;Универсальный;-
2752;Затонувшие корабли. Затопленные города;Окороков А.В.;1996;Книга;Историческая;Универсальный;-
2753;Тропою Когульдея;Окладникова Е.А.;1990;Книга;Историческая;Универсальный;-
2754;Древо познания;Ларичев В.Б.;1985;Книга;Историческая;Универсальный;-
2755;Москва;Трофимов В.Г.;1981;Книга;Историческая;Универсальный;-
2756;Нет чужих среди людей;Норт Дж;1983;Книга;Историческая;Универсальный;-
2757;Десять тысяч лет;Кики А.М.;1981;Книга;Историческая;Универсальный;-
2758;Отчаявшийся народ;Моуэт Ф.;1963;Книга;Историческая;Универсальный;-
2759;Дорогами Сандино;Григулевич И.Р.;1984;Книга;Историческая;Универсальный;-
2760;Тайная полиция США;Костин П.В.;1986;Книга;Историческая;Универсальный;-
2761;США операции по уничтожению;Лосев С.И.;1984;Книга;Историческая;Универсальный;-
2762;Фашизм и неофашизм;Опитц Р.;1988;Книга;Историческая;Универсальный;-
2763;На берегу Маклая;;1975;Книга;Историческая;Универсальный;-
2764;Заселение Земли человеком;Окладников А.П.;1984;Книга;Историческая;Универсальный;-
2765;Пиния на ветру;Малышев В.;1987;Книга;Историческая;Универсальный;-
